title,url,venue,database_searched,field,year,total_search_hits,industry_1st_author,micro_view,macro_view
Seven pitfalls to avoid when running controlled experiments on the web,https://dl.acm.org/doi/10.1145/1557019.1557139,KDD,ACM Digital Library,Computer Science,2009,,1,1,0
"Overlapping experiment infrastructure: more, better, faster experimentation",https://dl.acm.org/doi/10.1145/1835804.1835810,KDD,ACM Digital Library,Computer Science,2010,,1,1,0
Trustworthy online controlled experiments: five puzzling outcomes explained,https://dl.acm.org/doi/10.1145/2339530.2339653,KDD,ACM Digital Library,Computer Science,2012,,1,1,0
Improving the sensitivity of online controlled experiments by utilizing pre-experiment data,https://dl.acm.org/doi/10.1145/2433396.2433413,WSDM,ACM Digital Library,Computer Science,2013,,1,1,0
Graph cluster randomization: network exposure to multiple universes,https://dl.acm.org/doi/10.1145/2487575.2487695,KDD,ACM Digital Library,Computer Science,2013,,0,1,0
Online controlled experiments at large scale,https://dl.acm.org/doi/10.1145/2487575.2488217,KDD,ACM Digital Library,Computer Science,2013,,1,1,0
Uncertainty in online experiments with dependent data: an evaluation of bootstrap methods,https://dl.acm.org/doi/10.1145/2487575.2488218,KDD,ACM Digital Library,Computer Science,2013,,1,1,0
Statistical inference in two-stage online controlled experiments with treatment selection and validation,https://dl.acm.org/doi/10.1145/2566486.2568028,WWW,ACM Digital Library,Computer Science,2014,,1,1,0
Seven rules of thumb for web site experimenters,https://dl.acm.org/doi/10.1145/2623330.2623341,KDD,ACM Digital Library,Computer Science,2014,,1,1,0
Practical Aspects of Sensitivity in Online Experimentation with User Engagement Metrics,https://dl.acm.org/doi/10.1145/2806416.2806496,CIKM,ACM Digital Library,Computer Science,2015,,1,1,0
Diluted Treatment Effect Estimation for Trigger Analysis in Online Controlled Experiments,https://dl.acm.org/doi/10.1145/2684822.2685307,WSDM,ACM Digital Library,Computer Science,2015,,1,1,0
Network A/B Testing: From Sampling to Estimation,https://dl.acm.org/doi/10.1145/2736277.2741081,WWW,ACM Digital Library,Computer Science,2015,,1,1,0
Extreme States Distribution Decomposition Method for Search Engine Online Evaluation,https://dl.acm.org/doi/10.1145/2783258.2783415,KDD,ACM Digital Library,Computer Science,2015,,1,1,0
From Infrastructure to Culture: A/B Testing Challenges in Large Scale Social Networks,https://dl.acm.org/doi/10.1145/2783258.2788602,KDD,ACM Digital Library,Computer Science,2015,,1,0,1
Website Optimization Problem and Its Solutions,https://dl.acm.org/doi/10.1145/2783258.2783351,KDD,ACM Digital Library,Computer Science,2015,,1,1,0
Using A/B testing in MOOC environments,https://dl.acm.org/doi/10.1145/2883851.2883876,LAK,ACM Digital Library,Computer Science,2016,,1,1,0
Boosted Decision Tree Regression Adjustment for Variance Reduction in Online Controlled Experiments,https://dl.acm.org/doi/10.1145/2939672.2939688,KDD,ACM Digital Library,Computer Science,2016,,1,1,0
Data-Driven Metric Development for Online Controlled Experiments: Seven Lessons Learned,https://dl.acm.org/doi/10.1145/2939672.2939700,KDD,ACM Digital Library,Computer Science,2016,,1,1,0
Evaluating Mobile Apps with A/B and Quasi A/B Tests,https://dl.acm.org/doi/10.1145/2939672.2939703,KDD,ACM Digital Library,Computer Science,2016,,1,1,0
